,,微博内容,,发布来源,,,,,,
,,周杰伦《发如雪》网页链接 @QQ音乐 一首很好听的中国风歌曲 网页链接 ?,,QQ音乐,,,,,,
,,我靠……美国媒体争先报道这首洗脑神曲之前登过美国时代周刊的就只有周杰伦和李宇春，王蓉的“小鸡小鸡”被美国最大的网站《时代周刊》报道！ ?,,iPhone客户端,,,,,,
,,#周杰伦#周杰伦演唱会点歌环节《一路向北》还记得电影里面最后的那个片段，杰伦转身跑开的时候，心里一定很难过的吧，但是爱情就是这样，再快的AE86，也追不回坐奔驰的女人了。已经无法回头了对吗？ 百听不厌音... ?,,微博网页,,,,,,
,,周杰伦离开成都的第三天，想他看外地后遗症没这么严重，大概主场得原因看了两场还是不满足，看来必须要看一次外地才能缓解一下了有种冲动买长沙，可是我已经抢到了梅奔 ?,,iPhone客户端,,,,,,
,,天王世纪合体 周杰伦演唱会，萧敬腾惊喜助阵，上演告白气球！ 乐响时刻的... ?,,微博网页,,,,,,
,,周杰伦这么可爱，怎么可能会有错。 #2018年周杰伦演唱会# ?,,,,,,,,
,,"【成都文广新局:周杰伦演唱会如违规将依法依规处理】5月4日下午，针对“2018周杰伦‘地表最强2’世界巡回演唱会（成都站）”举办单位在组织、管理、服务上存在不完善和不周到等问题，给正在积极打造音乐之都的成都造成的影响，成都市文广新局市场处有关负责人高度重视并表示，周杰伦成都演唱会 ，如出 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,请问一下，周杰伦还有什么不会的吗？#谜之微笑##微博搞笑排行榜# 笑成驴的秒... ?,,微博 weibo.com,,,,,,
,,#李健# 【音乐手记】《中国新歌声》最新一季来袭，谢霆锋搭配李健周杰伦让人期待，原视频【音乐手记... 拾光少年的... ?,,微话题,,,,,,
,,香港歌迷在周杰伦演唱会上自弹自唱挑战他，没点才艺都不敢去听演唱会了??#搞笑视频# 电影主的秒... ?,,秒拍网页版,,,,,,
,,周杰伦《世界末日》现场版，一架钢琴，一段叙述，一个人演绎，说尽心中无限事！ 音乐辑的秒... ?,,微话题,,,,,,
,,周杰伦现场版《蒲公英的约定》一起长大的约定那样清晰 打过勾的我相信说好要一起旅行是你如今 唯一坚持的任性几句歌词：唤醒起多少沉睡的记忆#周杰伦地表最强演唱会#  秒拍视频 ?,,iPhone客户端,,,,,,
,,周杰伦《等你下课》 想与你不期而遇 网页链接 ?,,黄老邪爪机Android,,,,,,
,,"封面新闻记者 杜恩湖5月4日下午，针对“2018周杰伦‘地表最强2’世界巡回演唱会”举办单位在组织、管理、服务上存在不完善和不周到等问题，给正在积极打造音乐之都的成都造成的影响，成都市文广新局市场处有关负责人，高度重视。今日头条 一定坚决打击借着明星名义，弄虚作假，卖假票，高高售，忽悠诈 ?
			...展开全文c",,今日头条,,,,,,
,,#周杰伦#《回到过去》等不到新歌的了解一下 海瑟薇男票... ?,,iPhone客户端,,,,,,
,,#周杰伦# 周杰伦经典回顾台北婚礼现场与费玉清合唱 千里之外，没看过的快收藏吧#初夏良曲种草# 音乐盒子_B... ?,,,,,,,,
,,"#初夏良曲种草# Billboard Radio China华语榜5月第1周Top10榜单公布！薛之谦《摩天大楼》第2周上榜攀升4位首度登顶陈奕迅《我们》暂让出冠军宝座仍高居第二于文文《体面》持平季军保持强势王嘉尔新曲《Dawn of us》稳居Top5伍嘉成携手王心凌《境迁》本周新歌进榜此外Top10中还有五月天、周杰伦、 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,#今天立夏#济南 小雨 周杰伦《听见下雨的声音》网页链接 ???,,,,,,,,
,,"真的真的好喜欢你 喜欢无助到对我红了眼睛的你 喜欢像小男孩一样对我软软撒娇的你 喜欢在阳光下卷起衣袖时明朗的你 喜欢认真看书时长长的睫毛一眨一眨的你 喜欢开朗地笑起来时露出虎牙的你 喜欢对我宠溺地笑时眼睛弯弯的你 喜欢有时忽然害羞得手足无措的你 喜欢接吻时先轻轻的到后来呼吸急促的你 喜欢 ?
			...展开全文c",,快充大运存 魅蓝 5s,,,,,,
,,还有什么是#蔡徐坤# 不会的？嗨唱#周杰伦# 经典歌曲，导师：给我签个名吧！ 歌神集的秒... ?,,微博网页,,,,,,
,,发表了博文《昆凌与助手穿情侣装周杰伦15字回复醋意十足》5月5日，昆凌在个社交网站上晒出一张照片，并配文写道：“任何人都需要粉红色的工人吗？组装弹跳垫这么费劲”|昆凌与助手... ?,,新浪博客,,,,,,
,,"周杰伦作品《不能说的秘密》音乐剧深圳站我们珠海歌迷会将会组团包车去观看。因为保利5月12号就开票。所以我们的团购在5月9号截止。180元价位即将售罄，请大家抓紧时间。演出时间：2018年9月15日周六下午3点演出地点：深圳南山保利剧院演出票价：180/280/380/480/680/880团票请点： ?
			...展开全文c",,iPhone X,,,,,,
,,周杰伦《告白气球》双人舞，简单易学，甜到爆炸据说，跳舞和减脂更配哦！??? 减肥瘦身作... ?,,秒拍网页版,,,,,,
,,"@沈月 昨日身着黄色木耳边衬衣与白色牛仔裙现身央视五四晚会，与多所高校学生合作的一曲周杰伦的《稻香》并结合了创意杯子舞进行了全新的演绎，用干净清透的嗓音传递满满青春正能量。上衣：2018Marie Elie春夏玉樱黄色木耳边衬衣裙子：2018Easysnatch2018牛仔白色半身裙鞋：Sergio Rossi银色高跟鞋 ?
			...展开全文c",,微话题,,,,,,
,,今天，#昆凌#晒为孩子准备弹跳垫的照片，其与助理穿“情侣装”，#周杰伦#看后又吃醋了，周杰伦写道：“我也觉得这衣服不知哪里怪怪的”带了一个若有所思的表情，虽有玩笑之意，看来也是醋意十足。 ?,,微博 weibo.com,,,,,,
,,#周杰伦长沙演唱会#@精彩在线文化传播 @周杰伦部落 @周杰伦资讯网官方微博 距离周杰伦地表最强2演唱会长沙站还有6天湖南杰迷的聚集地，欢迎您的加入 |长沙·梓园... ?,,前后2000万 OPPO R11,,,,,,
,,關於喜歡你(周杰倫)，是我做過最好的事情，也是我做過最長久的事情，陪伴是最長情的告白〃??????@ jay chou ?,,周杰倫蛋餅Android,,,,,,
,,周杰伦珠海演唱会现场还是很兴奋 横琴置业谭... ?,,iPhone 6 Plus,,,,,,
,,周杰伦的求生欲很强啊哈哈哈哈哈，歌迷：“你们家谁比较凶？” 杰伦：“你不能问我问题！”哈哈哈哈哈哈，杰伦劝你要善良 固执狂人的... ?,,微博 weibo.com,,,,,,
